Ticker,Navn,Marked,Hjemstat,Primær/sekundær notering,Norske tilbudsregler,Delt tilbudsmyndighet/lovvalg
NRS,Norway Royal Salmon ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NAS,Norwegian Air Shuttle ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NOR,Norwegian Energy Company ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NOFIN,Norwegian Finans Holding ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NPRO,Norwegian Property ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NRC,NRC Group ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
NTS,NTS ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
OCY,Ocean Yield ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
OTS,Oceanteam ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
ODL,Odfjell Drilling Ltd,Oslo Børs,Norway,Primærnotert,JA/Yes,
ODF,Odfjell SE,Oslo Børs,Norway,Primærnotert,JA/Yes,
OLT,Olav Thon Eiendomsselskap ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
OPERA,Opera Software ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
ORK,Orkla ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
BAKKA,P/f Bakkafrost,Oslo Børs,Norway,Primærnotert,JA/Yes,
PEN,Panoro Energy ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
PARB,Pareto Bank ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
PCIB,PCI Biotech Holding ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
PGS,Petroleum Geo - Services ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
PDR,Petrolia SE,Oslo Børs,Cyprus,Primærnotert,JA/Yes,JA (KY) / Yes
PHLY,Philly Shipyard ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
PHO,Photocure ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
PPG PREF,Pioneer Property Group ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
PLCS,Polarcus Ltd,Oslo Børs,Norway,Primærnotert,JA/Yes,
POL,Polaris Media ASA,Oslo Børs,Norway,Primærnotert,JA /Yes,
PRS,Prosafe SE,Oslo Børs,Cyprus,Primærnotert,JA/Yes,JA (KY) / Yes
PROTCT,Protector Forsikring ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
QFR,Q-Free ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
QEC,Questerre Energy Corporation,Oslo Børs,Norway,Sekundærnotert,Nei/No,
RAKP,RAK Petroleum plc,Oslo Børs,United Kingdom,Primærnotert,JA/Yes,JA (GB) / Yes
REACH,Reach Subsea ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
REC,REC Silicon ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
RENO,RenoNorden ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
ROM,RomReal Ltd.,Oslo Axess,Norway,Primærnotert,JA/Yes,
SDSD,S.D. Standard Drilling PLC,Oslo Børs,Cyprus,Primærnotert,JA/Yes,JA (KY) / Yes
SAFE,Saferoad Holding ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
SAGA,Saga Tankers ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
SALM,SalMar ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SAS NOK,SAS Group AB,Oslo Børs,Sweden,Sekundærnotert,NEI/No,
SSHIP,Scanship Holding,Oslo Axess,Norway,Primærnotert,JA/Yes,
SSO,Scatec Solar ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SCH,Schibsted ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SBX,SeaBird Exploration PLC,Oslo Børs,Cyprus,Primærnotert,JA/Yes,Ja (KY) / Yes
SDRL,Seadrill Limited,Oslo Børs,Norway,Sekundærnotert,JA/Yes,
SBO,Selvaag Bolig ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SEVDR,Sevan Drilling Ltd,Oslo Børs,Norway,Primærnotert,JA/Yes,
SEVAN,Sevan Marine ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SIOFF,Siem Offshore Inc.,Oslo Børs,Norway,Primærnotert,JA/Yes,
SKBN,Skandiabanken ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SOFF,Solstad Farstad ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SOLV,Solvang ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SBULK,Songa Bulk ASA,Oslo Axess,Norway,Primærnotert,JA/Yes,
SONG,Songa Offshore SE,Oslo Børs,Cyprus,Primærnotert,JA/Yes,JA (KY) /Yes
SRBANK,SpareBank 1 SR-Bank ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SPU,Spectrum ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
STL,Statoil ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SNI,Stolt-Nielsen Limited,Oslo Børs,Norway,Primærnotert,JA/Yes,
STB,Storebrand ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
STORM,Storm Real Estate ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
STRONG,StrongPoint ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SUBC,Subsea 7 SA,Oslo Børs,Luxembourg,Primærnotert,JA/Yes,JA (LU) /Yes
TIL,Tanker Investments Ltd,Oslo Børs,Norway,Primærnotert,JA/Yes,
TRVX,Targovax ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
TEAM,Team Tankers International Ltd.,Oslo Børs,Norway,Primærnotert,JA/Yes,
TEL,Telenor ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
TGS,TGS-NOPEC Geophysical Company ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
SSC,The Scottish Salmon Company Ltd,Oslo Børs,Norway,Primærnotert,JA/Yes,
THIN,Thin Film Electronics ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
TOM,Tomra Systems ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
TRE,Treasure ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
TTS,TTS Group ASA,Oslo Børs,Norway,Primærnotert,JA/Yes,
UMS,Unified Messaging Systems ASA,Oslo Axess,Norway,Primærnotert,JA/Yes
VEI,Veidekke ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
VISTIN,Vistin Pharma ASA,Oslo Axess,Norway,Primærnotert,JA/Yes
VVL,Voss Veksel- og Landmandsbank ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
WEIFA,Weifa ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
WRL,Wentworth Resources Ltd,Oslo Børs,Norway,Primærnotert,JA /Yes
WWASA,Wallenius Wilhelmsen Logistics ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
WWI,Wilh. Wilhelmsen Holding ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
WILS,Wilson ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
XXL,XXL ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
YAR,Yara International ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
ZAL,Zalaris ASA,Oslo Børs,Norway,Primærnotert,JA/Yes
